R_fighter,B_fighter,R_odds,B_odds,Winner,title_bout,weight_class,finish,finish_details,finish_round,total_fight_time_secs
Kevin Holland,Anthony Hernandez,-110,-110,Red,FALSE,Middleweight,KO/TKO,Knees,1,39
Giga Chikadze,Irwin Rivera,-420,335,Red,FALSE,Featherweight,U-DEC,,3,900
Nate Landwehr,Darren Elkins,100,-120,Red,FALSE,Featherweight,U-DEC,,3,900
Cortney Casey,Mara Romero Borella,-185,160,Red,FALSE,Women's Flyweight,SUB,Armbar,1,216
Rodrigo Nascimento,Don'Tale Mayes,-115,-105,Red,FALSE,Heavyweight,SUB,Rear Naked Choke,2,425
Anthony Smith,Glover Teixeira,-175,155,Blue,FALSE,Light Heavyweight,KO/TKO,Punches,5,1264
Ben Rothwell,Ovince Saint Preux,112,-132,Red,FALSE,Heavyweight,S-DEC,,3,900
Alexander Hernandez,Drew Dober,100,-120,Blue,FALSE,Lightweight,KO/TKO,Punches,2,565
Ricky Simon,Ray Borg,-170,150,Red,FALSE,Bantamweight,S-DEC,,3,900
Andrei Arlovski,Philipe Lins,130,-150,Red,FALSE,Heavyweight,U-DEC,,3,900
Michael Johnson,Thiago Moises,-110,-110,Blue,FALSE,Lightweight,SUB,Ankle Lock,2,325
Sijara Eubanks,Sarah Moras,-370,310,Red,FALSE,Women's Bantamweight,U-DEC,,3,900
Gabriel Benitez,Omar Morales,160,-185,Blue,FALSE,Lightweight,U-DEC,,3,900
Hunter Azure,Brian Kelleher,-200,170,Blue,FALSE,Featherweight,KO/TKO,Punch,2,520
Chase Sherman,Ike Villanueva,-160,140,Red,FALSE,Heavyweight,KO/TKO,Elbow,2,349
Vicente Luque,Niko Price,-290,245,Red,FALSE,Welterweight,KO/TKO,Punches,3,817
Bryce Mitchell,Charles Rosa,-155,135,Red,FALSE,Featherweight,U-DEC,,3,900
Ryan Spann,Sam Alvey,-420,335,Red,FALSE,Light Heavyweight,S-DEC,,3,900
Anthony Pettis,Donald Cerrone,-135,115,Red,FALSE,Welterweight,U-DEC,,3,900
Aleksei Oleinik,Fabricio Werdum,270,-330,Red,FALSE,Heavyweight,S-DEC,,3,900
Carla Esparza,Michelle Waterson,-155,135,Red,FALSE,Women's Strawweight,S-DEC,,3,900
Uriah Hall,Jacare Souza,115,-135,Red,FALSE,Middleweight,,,,
Tony Ferguson,Justin Gaethje,-180,158,Blue,TRUE,Lightweight,KO/TKO,Punch,5,1419
Henry Cejudo,Dominick Cruz,-225,185,Red,TRUE,Bantamweight,KO/TKO,Knee,2,598
Francis Ngannou,Jairzinho Rozenstruik,-265,225,Red,FALSE,Heavyweight,KO/TKO,Punch,1,20
Jeremy Stephens,Calvin Kattar,210,-250,Blue,FALSE,Featherweight,KO/TKO,Elbow,2,469
Greg Hardy,Yorgan De Castro,-200,170,Red,FALSE,Heavyweight,U-DEC,,3,900
Kevin Lee,Charles Oliveira,-145,135,Blue,FALSE,Lightweight,SUB,Guillotine Choke,3,628
Demian Maia,Gilbert Burns,160,-170,Blue,FALSE,Welterweight,KO/TKO,Punch,1,154
Renato Moicano,Damir Hadzovic,-345,315,Red,FALSE,Lightweight,SUB,Rear Naked Choke,1,44
Johnny Walker,Nikita Krylov,-137,127,Blue,FALSE,Light Heavyweight,U-DEC,,3,900
Francisco Trinaldo,John Makdessi,-160,150,Red,FALSE,Lightweight,U-DEC,,3,900
Jussier Formiga,Brandon Moreno,-150,140,Blue,FALSE,Flyweight,U-DEC,,3,900
Amanda Ribas,Randa Markos,-345,315,Red,FALSE,Women's Strawweight,U-DEC,,3,900
Elizeu Dos Santos,Aleksei Kunchenko,-122,112,Red,FALSE,Welterweight,,,,
Mayra Bueno Silva,Maryna Moroz,-140,130,Blue,FALSE,Women's Flyweight,U-DEC,,3,900
Bruno Silva,David Dvorak,-110,100,Blue,FALSE,Flyweight,U-DEC,,3,900
Veronica Macedo,Bea Malecki,-155,145,Blue,FALSE,Women's Bantamweight,U-DEC,,3,900
Israel Adesanya,Yoel Romero,-260,240,Red,TRUE,Middleweight,U-DEC,,5,1500
Weili Zhang,Joanna Jedrzejczyk,-185,170,Red,TRUE,Women's Strawweight,S-DEC,,5,1500
Beneil Dariush,Drakkar Klose,-162,152,Red,FALSE,Lightweight,KO/TKO,Punch,2,360
Neil Magny,Li Jingliang,157,-167,Red,FALSE,Welterweight,,,,
Alex Oliveira,Max Griffin,-125,115,Red,FALSE,Welterweight,S-DEC,,3,900
Sean O'Malley,Jose Quinonez,-330,300,Red,FALSE,Bantamweight,KO/TKO,Punches,1,122
Mark Madsen,Austin Hubbard,-215,195,Red,FALSE,Lightweight,U-DEC,,3,900
Rodolfo Vieira,Saparbeg Safarov,-570,480,Red,FALSE,Middleweight,SUB,Arm Triangle,1,178
Gerald Meerschaert,Deron Winn,125,-135,Red,FALSE,Middleweight,SUB,Rear Naked Choke,3,733
Jamall Emmers,Giga Chikadze,-170,160,Blue,FALSE,Featherweight,S-DEC,,3,900
Danaa Batgerel,Guido Cannetti,-120,110,Red,FALSE,Bantamweight,KO/TKO,Punch,1,181
Joseph Benavidez,Deiveson Figueiredo,-150,130,Blue,TRUE,Flyweight,KO/TKO,Punch,2,414
